"subject","problem","dataset_number","proplookatnovel","total_familiar_item_look_during_familiarization"
4,"faceproblem1",63,0.45,16580.19
4,"faceproblem1",64,0.66,18082.8
4,"faceproblem1",65,0.39,18828.4
4,"faceproblem1",66,0.35,15762.19
4,"faceproblem1",67,0.37,17263.8
4,"faceproblem1",68,0.22,19097.6
4,"faceproblem1",69,0.74,19103.8
4,"faceproblem1",70,0.28,17828.3
4,"faceproblem1",71,0.53,17208.9
4,"faceproblem1",72,0.26,17012.2
4,"faceproblem1",73,0.35,15762.19
4,"faceproblem1",74,0.64,17450.5
4,"faceproblem1",75,0.38,17496.1
4,"faceproblem1",76,0.35,15762.19
4,"faceproblem1",77,0.47,667.8
4,"faceproblem1",78,0.6,16911.5
4,"faceproblem1",79,0.27,18426.5
4,"faceproblem1",80,0.53,17781.9
4,"faceproblem1",81,0.66,17199.3
4,"faceproblem1",82,0.65,18845.2
4,"faceproblem1",83,0.52,16916.89
4,"faceproblem1",84,0.73,18776
4,"faceproblem1",85,0.27,18426.5
4,"faceproblem1",86,0.47,18657.7
4,"faceproblem1",87,0.27,18426.5
4,"faceproblem1",88,0.47,667.8
4,"faceproblem1",89,0.58,18562.3
4,"faceproblem1",90,0.65,17997.69
4,"faceproblem1",91,0.45,18104.4
4,"faceproblem1",92,0.55,18564.69
4,"faceproblem1",93,0.66,17199.3
4,"faceproblem1",94,0.64,17450.5
4,"faceproblem1",95,0.65,17997.69
4,"faceproblem1",96,0.33,18038.7
4,"faceproblem1",97,0.49,18737.4
4,"faceproblem1",98,0.81,17946.7
4,"faceproblem1",99,0.52,19015.9
4,"faceproblem1",100,0.34,18737.49
5,"faceproblem1",1,0.33,18284.1
5,"faceproblem1",2,0.31,18250.9
5,"faceproblem1",3,0.37,17263.8
5,"faceproblem1",4,0.38,17496.1
5,"faceproblem1",5,0.28,17828.3
5,"faceproblem1",6,0.6,16911.5
5,"faceproblem1",7,0.85,16003.5
5,"faceproblem1",8,0.45,19023.4
5,"faceproblem1",9,0.55,17525.8
5,"faceproblem1",10,0.63,17504.3
5,"faceproblem1",11,0.21,19024.2
5,"faceproblem1",12,0.38,17496.1
5,"faceproblem1",13,0.73,18776
5,"faceproblem1",14,0.66,16805.09
5,"faceproblem1",15,0.37,17263.8
5,"faceproblem1",16,0.77,19247.7
5,"faceproblem1",17,0.49,18746.79
5,"faceproblem1",18,0.47,18379.5
5,"faceproblem1",19,0.58,16965.19
5,"faceproblem1",20,0.47,18657.7
5,"faceproblem1",21,0.66,18860
5,"faceproblem1",22,0.3,17029.6
5,"faceproblem1",23,0.79,18202.1
5,"faceproblem1",24,0.38,17270.7
5,"faceproblem1",25,0.45,18104.4
5,"faceproblem1",26,0.67,19162.7
5,"faceproblem1",27,0.63,17504.3
5,"faceproblem1",28,0.38,17270.7
5,"faceproblem1",29,0.58,19480
5,"faceproblem1",30,0.87,17679.7
5,"faceproblem1",31,0.65,18774.7
5,"faceproblem1",32,0.21,19024.2
5,"faceproblem1",33,0.46,18630.2
5,"faceproblem1",34,0.6,16911.5
5,"faceproblem1",35,0.74,19103.8
5,"faceproblem1",36,0.79,18202.1
5,"faceproblem1",37,0.27,18426.5
5,"faceproblem1",38,0.45,19023.4
5,"faceproblem1",39,0.65,17997.69
5,"faceproblem1",40,0.66,18860
5,"faceproblem1",41,0.53,17208.9
5,"faceproblem1",42,0.39,18828.4
5,"faceproblem1",43,0.46,18652.6
5,"faceproblem1",44,0.58,16965.19
5,"faceproblem1",45,0.61,16615.9
5,"faceproblem1",46,0.42,19067.8
5,"faceproblem1",47,0.64,17450.5
5,"faceproblem1",48,0.55,17525.8
5,"faceproblem1",49,0.59,17287.5
5,"faceproblem1",50,0.53,17208.9
5,"faceproblem1",51,0.59,17287.5
5,"faceproblem1",52,0.66,18082.8
5,"faceproblem1",53,0.46,18630.2
5,"faceproblem1",54,0.65,17997.69
5,"faceproblem1",55,0.59,17287.5
5,"faceproblem1",56,0.33,18284.1
5,"faceproblem1",57,0.62,18000.7
5,"faceproblem1",58,0.26,17012.2
5,"faceproblem1",59,0.16,18803.7
5,"faceproblem1",60,0.28,17828.3
5,"faceproblem1",61,0.46,18630.2
5,"faceproblem1",62,0.56,18479.5
5,"faceproblem1",63,0.56,18479.5
5,"faceproblem1",64,0.66,18860
5,"faceproblem1",65,0.46,18630.2
5,"faceproblem1",66,0.62,19108.3
5,"faceproblem1",67,0.61,16615.9
5,"faceproblem1",68,0.63,17504.3
5,"faceproblem1",69,0.73,18776
5,"faceproblem1",70,0.64,17450.5
5,"faceproblem1",71,0.73,18776
5,"faceproblem1",72,0.33,18038.7
5,"faceproblem1",73,0.72,18446.2
5,"faceproblem1",74,0.66,18860
5,"faceproblem1",75,0.49,18737.4
5,"faceproblem1",76,0.45,18104.4
5,"faceproblem1",77,0.53,17208.9
5,"faceproblem1",78,0.34,18737.49
5,"faceproblem1",79,0.9,19111.9
5,"faceproblem1",80,0.27,18426.5
5,"faceproblem1",81,0.39,18828.4
5,"faceproblem1",82,0.59,17287.5
5,"faceproblem1",83,0.66,18082.8
5,"faceproblem1",84,0.59,17287.5
5,"faceproblem1",85,0.61,16615.9
5,"faceproblem1",86,0.81,17946.7
5,"faceproblem1",87,0.56,18479.5
5,"faceproblem1",88,0.33,18284.1
5,"faceproblem1",89,0.66,17199.3
5,"faceproblem1",90,0.26,17012.2
5,"faceproblem1",91,0.77,19247.7
5,"faceproblem1",92,0.45,19023.4
5,"faceproblem1",93,0.66,16805.09
5,"faceproblem1",94,0.63,18321.1
5,"faceproblem1",95,0.62,18000.7
5,"faceproblem1",96,0.64,17450.5
5,"faceproblem1",97,0.67,19162.7
5,"faceproblem1",98,0.65,18774.7
5,"faceproblem1",99,0.63,18321.1
5,"faceproblem1",100,0.24,18519.3
6,"faceproblem1",1,0.37,17492.4
6,"faceproblem1",2,0.16,18803.7
6,"faceproblem1",3,0.37,17263.8
6,"faceproblem1",4,0.31,18250.9
6,"faceproblem1",5,0.62,18000.7
6,"faceproblem1",6,0.65,17997.69
6,"faceproblem1",7,0.52,16916.89
6,"faceproblem1",8,0.42,19067.8
6,"faceproblem1",9,0.34,18737.49
6,"faceproblem1",10,0.58,18562.3
6,"faceproblem1",11,0.49,18737.4
6,"faceproblem1",12,0.59,17287.5
6,"faceproblem1",13,0.62,19108.3
6,"faceproblem1",14,0.47,18379.5
6,"faceproblem1",15,0.87,17679.7
6,"faceproblem1",16,0.36,18086.8
6,"faceproblem1",17,0.65,17997.69
6,"faceproblem1",18,0.45,19023.4
6,"faceproblem1",19,0.6,16911.5
6,"faceproblem1",20,0.16,18803.7
6,"faceproblem1",21,0.24,18519.3
6,"faceproblem1",22,0.16,18803.7
6,"faceproblem1",23,0.52,19015.9
6,"faceproblem1",24,0.21,19024.2
6,"faceproblem1",25,0.58,16965.19
6,"faceproblem1",26,0.53,17781.9
6,"faceproblem1",27,0.45,16580.19
6,"faceproblem1",28,0.55,17525.8
6,"faceproblem1",29,0.35,15762.19
6,"faceproblem1",30,0.45,19023.4
6,"faceproblem1",31,0.66,18082.8
6,"faceproblem1",32,0.65,18845.2
6,"faceproblem1",33,0.49,18737.4
6,"faceproblem1",34,0.36,18086.8
6,"faceproblem1",35,0.46,18630.2
6,"faceproblem1",36,0.53,18047
6,"faceproblem1",37,0.65,18774.7
6,"faceproblem1",38,0.27,18426.5
6,"faceproblem1",39,0.34,18737.49
6,"faceproblem1",40,0.46,18630.2
6,"faceproblem1",41,0.58,19480
6,"faceproblem1",42,0.31,18250.9
6,"faceproblem1",43,0.46,18630.2
6,"faceproblem1",44,0.36,18086.8
6,"faceproblem1",45,0.66,18082.8
6,"faceproblem1",46,0.49,18737.4
6,"faceproblem1",47,0.33,18809.49
6,"faceproblem1",48,0.65,18845.2
6,"faceproblem1",49,0.53,17208.9
6,"faceproblem1",50,0.64,17450.5
6,"faceproblem1",51,0.63,17504.3
6,"faceproblem1",52,0.85,16003.5
6,"faceproblem1",53,0.46,18630.2
6,"faceproblem1",54,0.66,18860
6,"faceproblem1",55,0.62,18000.7
6,"faceproblem1",56,0.72,18446.2
6,"faceproblem1",57,0.47,667.8
6,"faceproblem1",58,0.49,18746.79
6,"faceproblem1",59,0.33,18284.1
6,"faceproblem1",60,0.81,17946.7
6,"faceproblem1",61,0.72,18446.2
6,"faceproblem1",62,0.66,16805.09
6,"faceproblem1",63,0.53,17781.9
6,"faceproblem1",64,0.53,18047
6,"faceproblem1",65,0.65,18774.7
6,"faceproblem1",66,0.72,18446.2
6,"faceproblem1",67,0.45,16580.19
6,"faceproblem1",68,0.58,18562.3
6,"faceproblem1",69,0.79,18202.1
6,"faceproblem1",70,0.63,17504.3
6,"faceproblem1",71,0.31,18250.9
6,"faceproblem1",72,0.3,17029.6
6,"faceproblem1",73,0.38,17496.1
6,"faceproblem1",74,0.46,18652.6
6,"faceproblem1",75,0.61,16615.9
6,"faceproblem1",76,0.77,19247.7
6,"faceproblem1",77,0.49,18829.3
6,"faceproblem1",78,0.53,17208.9
6,"faceproblem1",79,0.47,18657.7
6,"faceproblem1",80,0.65,18845.2
6,"faceproblem1",81,0.33,18809.49
6,"faceproblem1",82,0.66,16805.09
6,"faceproblem1",83,0.53,17208.9
6,"faceproblem1",84,0.73,18776
6,"faceproblem1",85,0.67,19162.7
6,"faceproblem1",86,0.63,18321.1
6,"faceproblem1",87,0.79,18202.1
6,"faceproblem1",88,0.65,18845.2
6,"faceproblem1",89,0.58,18562.3
6,"faceproblem1",90,0.28,17828.3
6,"faceproblem1",91,0.66,17199.3
6,"faceproblem1",92,0.49,18829.3
6,"faceproblem1",93,0.74,19103.8
6,"faceproblem1",94,0.66,18860
6,"faceproblem1",95,0.33,18284.1
6,"faceproblem1",96,0.45,18104.4
6,"faceproblem1",97,0.58,16965.19
6,"faceproblem1",98,0.29,18408.49
6,"faceproblem1",99,0.45,16580.19
6,"faceproblem1",100,0.34,18737.49
7,"faceproblem1",1,0.37,17492.4
7,"faceproblem1",2,0.72,18446.2
7,"faceproblem1",3,0.56,18782.3
7,"faceproblem1",4,0.28,17828.3
7,"faceproblem1",5,0.33,18809.49
7,"faceproblem1",6,0.59,17287.5
7,"faceproblem1",7,0.64,17450.5
7,"faceproblem1",8,0.62,19108.3
7,"faceproblem1",9,0.61,16615.9
7,"faceproblem1",10,0.33,18809.49
7,"faceproblem1",11,0.34,18737.49
7,"faceproblem1",12,0.38,17496.1
7,"faceproblem1",13,0.77,19247.7
7,"faceproblem1",14,0.47,18379.5
7,"faceproblem1",15,0.35,15762.19
7,"faceproblem1",16,0.47,18657.7
7,"faceproblem1",17,0.62,19108.3
7,"faceproblem1",18,0.6,16911.5
7,"faceproblem1",19,0.58,19480
7,"faceproblem1",20,0.47,667.8
7,"faceproblem1",21,0.72,18446.2
7,"faceproblem1",22,0.26,17012.2
7,"faceproblem1",23,0.73,18776
7,"faceproblem1",24,0.45,18104.4
7,"faceproblem1",25,0.21,19024.2
7,"faceproblem1",26,0.49,18829.3
7,"faceproblem1",27,0.29,18408.49
7,"faceproblem1",28,0.45,19023.4
7,"faceproblem1",29,0.65,18845.2
7,"faceproblem1",30,0.37,17492.4
7,"faceproblem1",31,0.16,18803.7
7,"faceproblem1",32,0.81,17946.7
7,"faceproblem1",33,0.47,667.8
7,"faceproblem1",34,0.46,18630.2
7,"faceproblem1",35,0.53,17781.9
7,"faceproblem1",36,0.79,18202.1
7,"faceproblem1",37,0.46,18652.6
7,"faceproblem1",38,0.24,18519.3
7,"faceproblem1",39,0.45,19023.4
7,"faceproblem1",40,0.3,17029.6
7,"faceproblem1",41,0.87,17679.7
7,"faceproblem1",42,0.53,17208.9
7,"faceproblem1",43,0.52,19015.9
7,"faceproblem1",44,0.66,16805.09
7,"faceproblem1",45,0.26,17012.2
7,"faceproblem1",46,0.49,18746.79
7,"faceproblem1",47,0.42,19067.8
7,"faceproblem1",48,0.58,16965.19
7,"faceproblem1",49,0.3,17029.6
7,"faceproblem1",50,0.63,18321.1
7,"faceproblem1",51,0.62,19108.3
7,"faceproblem1",52,0.79,18202.1
7,"faceproblem1",53,0.81,17946.7
7,"faceproblem1",54,0.61,16615.9
7,"faceproblem1",55,0.58,16965.19
7,"faceproblem1",56,0.37,17263.8
7,"faceproblem1",57,0.29,18408.49
7,"faceproblem1",58,0.26,17012.2
7,"faceproblem1",59,0.16,18803.7
7,"faceproblem1",60,0.53,18047
7,"faceproblem1",61,0.47,667.8
7,"faceproblem1",62,0.45,19023.4
7,"faceproblem1",63,0.66,18082.8
7,"faceproblem1",64,0.49,18746.79
7,"faceproblem1",65,0.33,18284.1
7,"faceproblem1",66,0.49,18829.3
7,"faceproblem1",67,0.65,18845.2
7,"faceproblem1",68,0.49,18829.3
7,"faceproblem1",69,0.59,17287.5
7,"faceproblem1",70,0.45,19023.4
7,"faceproblem1",71,0.34,18737.49
7,"faceproblem1",72,0.77,19247.7
7,"faceproblem1",73,0.66,18860
7,"faceproblem1",74,0.42,19067.8
7,"faceproblem1",75,0.38,17270.7
7,"faceproblem1",76,0.42,19067.8
7,"faceproblem1",77,0.53,17208.9
7,"faceproblem1",78,0.57,17682.6
7,"faceproblem1",79,0.38,17496.1
7,"faceproblem1",80,0.24,18519.3
7,"faceproblem1",81,0.45,16580.19
7,"faceproblem1",82,0.65,18774.7
7,"faceproblem1",83,0.38,17270.7
7,"faceproblem1",84,0.45,16580.19
7,"faceproblem1",85,0.58,19480
7,"faceproblem1",86,0.55,18564.69
7,"faceproblem1",87,0.26,17012.2
7,"faceproblem1",88,0.46,18630.2
7,"faceproblem1",89,0.31,18250.9
7,"faceproblem1",90,0.49,18829.3
7,"faceproblem1",91,0.65,17997.69
7,"faceproblem1",92,0.24,18519.3
7,"faceproblem1",93,0.63,17504.3
7,"faceproblem1",94,0.73,18776
7,"faceproblem1",95,0.36,18086.8
7,"faceproblem1",96,0.49,18737.4
7,"faceproblem1",97,0.53,17781.9
7,"faceproblem1",98,0.46,18630.2
7,"faceproblem1",99,0.77,19247.7
7,"faceproblem1",100,0.81,17946.7
9,"faceproblem1",1,0.66,18082.8
9,"faceproblem1",2,0.33,18038.7
9,"faceproblem1",3,0.49,18737.4
9,"faceproblem1",4,0.52,19015.9
9,"faceproblem1",5,0.66,17199.3
9,"faceproblem1",6,0.53,17781.9
9,"faceproblem1",7,0.6,16911.5
9,"faceproblem1",8,0.55,17525.8
9,"faceproblem1",9,0.28,17828.3
9,"faceproblem1",10,0.26,17012.2
9,"faceproblem1",11,0.29,18408.49
9,"faceproblem1",12,0.38,17496.1
9,"faceproblem1",13,0.59,17287.5
9,"faceproblem1",14,0.61,16615.9
9,"faceproblem1",15,0.72,18446.2
9,"faceproblem1",16,0.56,18479.5
9,"faceproblem1",17,0.62,19108.3
9,"faceproblem1",18,0.45,16580.19
9,"faceproblem1",19,0.49,18737.4
9,"faceproblem1",20,0.66,17199.3
9,"faceproblem1",21,0.57,17682.6
9,"faceproblem1",22,0.21,19024.2
9,"faceproblem1",23,0.38,17270.7
9,"faceproblem1",24,0.45,17554.2
9,"faceproblem1",25,0.53,17781.9
9,"faceproblem1",26,0.24,18519.3
9,"faceproblem1",27,0.9,19111.9
9,"faceproblem1",28,0.47,667.8
9,"faceproblem1",29,0.65,18774.7
9,"faceproblem1",30,0.73,18776
9,"faceproblem1",31,0.45,18104.4
9,"faceproblem1",32,0.16,18803.7
9,"faceproblem1",33,0.66,17199.3
9,"faceproblem1",34,0.9,19111.9
9,"faceproblem1",35,0.56,18479.5
9,"faceproblem1",36,0.65,18845.2
9,"faceproblem1",37,0.33,18284.1
9,"faceproblem1",38,0.65,17997.69
9,"faceproblem1",39,0.66,17199.3
9,"faceproblem1",40,0.45,18104.4
9,"faceproblem1",41,0.33,18809.49
9,"faceproblem1",42,0.49,18737.4
9,"faceproblem1",43,0.52,16916.89
9,"faceproblem1",44,0.58,19480
9,"faceproblem1",45,0.72,18446.2
9,"faceproblem1",46,0.55,17525.8
9,"faceproblem1",47,0.22,19097.6
9,"faceproblem1",48,0.58,16965.19
9,"faceproblem1",49,0.58,16965.19
9,"faceproblem1",50,0.24,18519.3
9,"faceproblem1",51,0.64,17450.5
9,"faceproblem1",52,0.9,19111.9
9,"faceproblem1",53,0.62,19108.3
9,"faceproblem1",54,0.33,18038.7
9,"faceproblem1",55,0.58,19480
9,"faceproblem1",56,0.42,19067.8
9,"faceproblem1",57,0.27,18426.5
9,"faceproblem1",58,0.81,17946.7
9,"faceproblem1",59,0.55,17525.8
9,"faceproblem1",60,0.47,667.8
9,"faceproblem1",61,0.81,17946.7
9,"faceproblem1",62,0.34,18737.49
9,"faceproblem1",63,0.62,18000.7
9,"faceproblem1",64,0.66,16805.09
9,"faceproblem1",65,0.58,16965.19
9,"faceproblem1",66,0.26,17012.2
9,"faceproblem1",67,0.38,17270.7
